Elden Ring | RPG
Hades | Action
Stardew Valley | Adventure
FIFA 24 | Sports
Silent Hill 2 | Horror
Civilization VI | Strategy
Hollow Knight | Action
The Witcher 3 | RPG
Celeste | Action
Dark Souls III | RPG
Rocket League | Sports
Slay the Spire | Strategy
Portal 2 | Adventure
Resident Evil 4 | Horror
Disco Elysium | RPG
Overwatch 2 | Action
Bloodborne | Action
Ori and the Will of the Wisps | Adventure
Factorio | Strategy
Horizon Zero Dawn | Adventure
Dead Cells | Action
Mass Effect Legendary Edition | RPG
Football Manager 2024 | Sports
Inside | Horror
